Name,Source URL
arpwatch,https://github.com/keegan2149/arpwatch_cookbook/
artifact,https://github.com/RiotGames/artifact-cookbook
artifact-deployer,https://github.com/maoo/artifact-deployer
artifactory,https://github.com/pschaumburg/artifactory
artifactory-artifact,https://github.com/yyuu/chef-artifactory-artifact
artifactory_ii,https://github.com/Stromweld/artifactory_ii
artifactory_rest,https://github.com/rylarson/chef-artifactory_rest
as-apache2,https://github.com/pingdecopong/as-apache
as-asset,https://github.com/pingdecopong/as-asset
asdf,https://github.com/asdf-chef/asdf
asf,https://github.com/T-Wong/asf
asgard,https://github.com/StudyBlue/chef-asgard
as-lap-asset,https://github.com/pingdecopong/as-lap-asset
as-lapp,https://github.com/pingdecopong/as-lapp
as-lapp-symfony2-asset,https://github.com/pingdecopong/as-lapp-symfony2-asset
as-php,https://github.com/pingdecopong/as-php
as-postgresql,https://github.com/pingdecopong/as-postgresql
asset_provider,https://github.com/tnarik/chef-asset_provider
as-symfony2,https://github.com/pingdecopong/as-symfony2
asterisk,https://github.com/mojolingo/asterisk-cookbook
atheme-services,https://github.com/fhats/chef-atheme-services
atlantis,https://github.com/sous-chefs/atlantis
atom,https://github.com/sous-chefs/atom
atop,https://github.com/keyan/atop/
attrbagger,https://github.com/modcloth-cookbooks/attrbagger
audit,https://github.com/chef-cookbooks/audit
audit_artifactory,https://github.com/mattray/audit_artifactory-cookbook
auditbeat,https://github.com/vkhatri/chef-auditbeat
audit-cis,https://github.com/chef-cookbooks/audit-cis
auditd,https://github.com/chef-cookbooks/auditd
audit_time_window,https://github.com/mattray/audit_time_window-cookbook
aufs,https://github.com/bflad/chef-aufs
augeas,https://github.com/nhuff/chef-augeas
authbind,https://github.com/realityforge/chef-authbind
authconfig,https://github.com/jcam/authconfig
autofs,https://github.com/sous-chefs/autofs
autohotkey,https://github.com/fromonesrc/autohotkey-cookbook
automount,https://github.com/datacoda/chef-automount
automysqlbackup,https://github.com/ffuenf/chef-automysqlbackup
auto-patch,https://github.com/bflad/chef-auto-patch/
autopatch_ii,https://github.com/Stromweld/autopatch_ii
autossh,https://github.com/sliim-cookbooks/autossh
auto-updater,https://github.com/kigster/cookbook-auto-updater
avahi,https://github.com/pwelch/chef-avahi
avahi-daemon,https://github.com/jackl0phty/opschef-cookbook-avahi-daemon
aws,https://github.com/sous-chefs/aws
awscli-tiny,https://github.com/webchi/chef-awscli-tiny
aws_cloudwatch,https://github.com/gp42/aws_cloudwatch
aws-cloudwatchlogs,https://github.com/amalucelli/chef-cloudwatchlogs
aws-codedeploy-agent,https://github.com/continuousphp/aws-codedeploy-agent
aws_developer_tools,https://github.com/Lytro/aws_developer_tools
aws-ec2-assign-elastic-ip,https://github.com/Riverline/aws-ec2-assign-elastic-ip-cookbook
aws-ec2-snapshot,https://github.com/jboeshart/aws-ec2-snapshot
aws-inspector,https://github.com/eternaltyro/chef-aws-inspector
aws-kinesis-agent,https://github.com/dgoradia/cookbook-aws-kinesis-agent
aws-kms,https://github.com/willejs/chef-aws-kms
aws_ms_dotnet,https://github.com/yeungs/AWS_ms_dotnet
aws-psp,https://github.com/tecracer-theinen/aws-psp
aws-rds,https://github.com/gosuri/aws-rds-cookbook
aws_s3_presigned_url,https://github.com/mstrzele-cookbooks/aws_s3_presigned_url
aws-sdk,https://github.com/americanhonors-cookbooks/aws-sdk
aws_security,https://github.com/searchspring/aws-security
awstats,https://github.com/fooforge/chef-cookbook_awstats
aws_volume,https://github.com/unixworld/chef-aws-volume
ayte-yandex-disk,https://github.com/ayte-io/ayte-yandex-disk
azurecli,https://github.com/leitu/azure-cli-cookbooks
azure_fqdn_fix,https://github.com/jrkarnes/azure_fqdn_fix
azure_pipelines_agent_macos,https://github.com/microsoft/azure-pipelines-agent-macos-cookbook
b,https://github.com/sous-chefs/nginx
babushka,https://github.com/josacar/chef-babushka
backupdir,https://github.com/DennyZhang/backupdir
backup_lwrp,https://github.com/damm/backup
backup-manager,https://github.com/laradji/backup-manager
backupninja,https://github.com/kevwilde/chef-backupninja
backuppc-client,https://github.com/kabisa-cookbooks/backuppc-client
backuppc-server,https://github.com/kabisa-cookbooks/backuppc-server
bacula,https://github.com/computerlyrik/chef-bacula.git
bacula-backup,https://github.com/biola/chef-bacula-backup
bacula-client,https://github.com/parallels-cookbooks/bacula-client
bacula-server,https://github.com/parallels-cookbooks/bacula-server
balancer-4linuxdevops,https://github.com/4linuxdevops/balancer-4linuxdevops
balancer-aleguedes1983,https://github.com/4linuxdevops/balancer-aleguedes1983
balancer-chef,https://github.com/jrballot/balancer-chef
balancer-leandromoreirati,https://github.com/leandromoreirati/balancer-leandromoreirati
balancer-robertofsilva,https://github.com/robertofsilva/balancer-robertofsilva
balancer-sowti,https://github.com/sowti/balancer-sowti
balancer-wcossta,https://github.com/4linuxdevops/balancer-4linuxdevops
bamboo,https://github.com/afklm/bamboo.git
bamboo-agent,https://github.com/Numergy/bamboo-agent-cookbook
bapteme,https://github.com/optiflows-cookbooks/bapteme
baragon,https://github.com/evertrue/baragon-cookbook
bareos,https://github.com/EMSL-MSC/bareos-cookbook.git
baryon,https://github.com/kisoku/baryon-cookbook
bash,https://github.com/optiflows-cookbooks/bash
bashd,https://github.com/jakshi/bashd
bash-it,https://github.com/edhurtig/bash-it-cookbook
bashrc,https://github.com/ut-cookbooks/bashrc
bashrc_manager,https://github.com/tablexi/chef-bashrc_manager
basic_vsftpd,https://github.com/flatrocks/cookbook-basic_vsftpd
bazaar,https://github.com/jjasghar/bazaar
bazel,https://github.com/gengo/cookbook-bazel
bbwin,https://github.com/johnsmyth/bbwin_cookbook
bd_nxlog,https://github.com/bdwyertech/bd_nxlog
beanstalkd,https://github.com/djoos-cookbooks/beanstalkd
beaver,https://github.com/alappe/cookbook-beaver
beef,https://github.com/sliim-cookbooks/beef
berkshelf-api,https://github.com/poise/berkshelf-api
berkshelf-api-server,https://github.com/berkshelf/berkshelf-api
better-chef-rundeck,https://github.com/ARAMISAUTO/better-chef-rundeck-cookbook
beyondcompare,https://github.com/windowschefcookbooks/beyondcompare
bginfo,https://github.com/X0nic/chef-bginfo
bind,https://github.com/sous-chefs/bind
bind10,https://github.com/mswart/chef-bind10
bind9-chroot,https://github.com/tnarik/chef-bind9-chroot
bind-chroot,https://github.com/jackl0phty/opschef-cookbook-bind-chroot
bitbucket_server,https://github.com/bharathcp/bitbucket_server
bitcoin,https://github.com/infertux/chef-bitcoin
bitcoind,https://github.com/nbobtc/bitcoind-cookbook
bjn_dbum,https://github.com/sczizzo/Archive/tree/master/bjn-dbum-cookbook
bjn_dsh,https://github.com/sczizzo/Archive/tree/master/bjn-dsh-cookbook
bjn_franz,https://github.com/sczizzo/Archive/tree/master/bjn-franz-cookbook
bjn_java,https://github.com/sczizzo/Archive/tree/master/bjn-java-cookbook
bjn_logrotate,https://github.com/sczizzo/Archive/tree/master/bjn-logrotate-cookbook
bjn_logstash,https://github.com/sczizzo/Archive/tree/master/bjn-logstash-cookbook
bjn_opsask,https://github.com/sczizzo/Archive/tree/master/bjn-opsask-cookbook
bjn_ruby,https://github.com/sczizzo/Archive/tree/master/bjn-ruby-cookbook
bjn_sod,https://github.com/sczizzo/Archive/tree/master/bjn-sod-cookbook
bke_signalsciences,https://github.com/buckle/signalsciences-cookbook
blackfire,https://github.com/blackfireio/blackfire-cookbook
blacklist_node_attrs,https://github.com/hpcloud/blacklist_node_attrs
bleemeo,https://github.com/aileo/chef-bleemeo
blockheads_server,https://github.com/erinlkolp/blockheads_server
blp-gemrc,https://github.com/bloomberg-cookbooks/gemrc
blp-grub,https://github.com/bloomberg-cookbooks/grub
blp-nrpe,https://github.com/bloomberg-cookbooks/nrpe
blp-updatedb,https://github.com/bloomberg-cookbooks/updatedb
bluematador_agent,https://github.com/bluematador/chef-bluematador
bo-bip,https://github.com/jpmat296/chef-bo-bip
boilerplate,https://github.com/topaz2/chef_boilerplate
boilerplate_php,https://github.com/topaz2/chef_boilerplate_php
bonita,https://github.com/realityforge/chef-bonita
boost-source,https://github.com/saadware/boost-source-cookbook
bosun,https://github.com/ptqa/chef-bosun
bot-trainer,https://github.com/sous-chefs/bot-trainer
boundary_meter,https://github.com/nsdavidson/boundary_meter
boxbilling,https://github.com/zuazo/boxbilling-cookbook
boxstarter,https://github.com/mwrock/boxstarter-cookbook
box-sync,https://github.com/RoboticCheese/box-sync-chef
bricks,https://github.com/wargames-cookbooks/bricks
brightbox-ruby,https://github.com/mojolingo/brightbox-ruby-cookbook
br-rails,https://github.com/built-by-robots/rails-cookbook
br-ruby,https://github.com/built-by-robots/ruby-cookbook
bsdcpio,https://github.com/sous-chefs/bsdcpio
bsdznc,https://github.com/rxrc/bsdznc
bsw_gpg,https://github.com/wied03/cookbook-gpg
buildkite,https://github.com/bendrucker/buildkite-cookbook
buildkite_agent,https://github.com/gscho/buildkite_agent
buildpack,https://github.com/yyuu/chef-buildpack
buildr,https://github.com/cyberfonica/chef-buildr
burp,https://github.com/klamontagne/chef-burp
bus-scsi,https://github.com/criteo-cookbooks/bus-scsi.git
butterfly,https://github.com/sliim-cookbooks/butterfly
cabot,https://github.com/rafaelmagu/chef-cabot
cacert,https://github.com/chr4-cookbooks/cacert
ca-certificates,https://github.com/jasonwbarnett/ca-certificates-cookbook
cacti,https://github.com/bflad/chef-cacti/
caddy,https://github.com/computerlyrik/chef-caddy
cadvisor,https://github.com/paulczar/cookbook-cadvisor
cafe,https://github.com/mhedgpeth/cafe-cookbook
cafe-core,https://github.com/opscafe/core
camo,https://github.com/svanzoest-cookbooks/camo
canary-cookbook,http://github.com/chef-cookbooks/chef-client
ca_openldap,https://github.com/carguel/chef-cookbook-ca-openldap
capish,https://github.com/paulholden2/capish
carbon-relay-ng,https://github.com/Mindera/carbon-relay-ng-cookbook
carton,https://github.com/davemenninger/carton
cassandra-dse,https://github.com/michaelklishin/cassandra-chef-cookbook
cassandra-opscenter,https://github.com/atrull/cassandra_opscenter_cookbook
cassandra-priam,https://github.com/atrull/cassandra_priam_cookbook
catalyst,http://github.com/melezhik/cookbooks/tree/master/catalyst
catalyst-fastcgi,http://github.com/melezhik/cookbooks/tree/master/catalyst-fastcgi
cayley,https://github.com/stavro/cayley-cookbook
cdap,https://github.com/cdapio/cdap_cookbook
celery-flower,https://github.com/enarciso/cookbook-celery-flower
centos-preupg,https://github.com/kkeane/chef-centos-preupg
ceph,https://github.com/ceph/ceph-cookbooks
ceph-chef,https://github.com/ceph/ceph-chef
ceph_micro,https://github.com/sathlan/ceph_micro-cookbook
cerberus,https://github.com/cixelsyd/cookbooks/tree/master/cerberus
cerner_kafka,https://github.com/cerner/cerner_kafka
cerner_splunk,https://github.com/cerner/cerner_splunk
cerner_splunk_ingredient,https://github.com/cerner/cerner_splunk_ingredient
cerner_tomcat,https://github.com/cerner/cerner_tomcat
certbot,https://github.com/inviqa/chef-certbot
certbot-cdh,https://github.com/inviqa/chef-certbot-cdh
certbot-dns,https://github.com/kilip/cookbook-certbot-dns
certbot-exec,https://github.com/qubitrenegade/certbot-exec
certbot-exec-cloudflare,https://github.com/qubitrenegade/certbot-exec-cloudflare
certificate,https://github.com/sous-chefs/certificate
certificate_services,https://github.com/shoekstra/chef-certificate_services
cesi,https://github.com/gamegos/cesi-cookbook
cgit,https://github.com/Lewuathe/cgit-cookbook
chamber-kibana,https://github.com/rchukh/chamber-kibana
chapp,https://github.com/bbaugher/chapp
checkinstall,https://github.com/frostyslav/chef-checkinstall
checksum_file,https://github.com/ualaska-it/checksum_file
chef-arkserver,https://github.com/f0rkz/chef-arkserver
chef-attributes,https://github.com/ledorsapmalat/chef-attributes
chef_auto_accumulator,https://github.com/sous-chefs/chef_auto_accumulator
chef-bareos,https://github.com/sitle/chef-bareos.git
chef_bird,https://github.com/vtolstov/chef_bird
chef_blockdev,https://github.com/vtolstov/chef_blockdev
chef_bundle,https://github.com/yyuu/chef_bundle
chef_ca,https://github.com/sous-chefs/chef_ca
chef_cfn,https://github.com/JonathanSerafini/chef-cfn
chef_cleaner,https://github.com/ctrlok/chef_cleaner
chef-client,https://github.com/chef-cookbooks/chef-client
chef-client-hardening,https://github.com/sliim-cookbooks/chef-client-hardening
chef_client_updater,https://github.com/chef-cookbooks/chef_client_updater
chef-cnos,https://github.com/lenovo/chef-cnos
chef-collectd,https://github.com/Hydrane/chef-collectd
chef_crontab,https://github.com/MelonSmasher/chef_crontab
chef-csgo,https://github.com/f0rkz/chef-csgo
chef-cuneiform,https://github.com/joergen7/chef-cuneiform
chef-davical,https://github.com/hemalvarambhia/chef-davical
chefdk,https://github.com/jjasghar/chefdk-cookbook/
chef-dk,https://github.com/RoboticCheese/chef-dk-chef
chefdk_bootstrap,https://github.com/Nordstrom/chefdk_bootstrap
chef-dk-gem,https://github.com/fhanson/chef-dk-gem
chef_dnsmasq,https://github.com/vtolstov/chef_dnsmasq
chef_drone,https://github.com/vtolstov/chef_drone
chefenv_suffix,https://github.com/jf647/cb_chefenv_suffix
chef_eye,https://github.com/MurgaNikolay/chef-eye
chef-factorio,https://github.com/f0rkz/chef-factorio
chef_fedora_base,https://github.com/defilan/chef_fedora_base
chef_filesystem,https://github.com/vtolstov/cb-filesystem
chefgithook,https://github.com/evertrue/chefgithook-cookbook
chef-ha,https://github.com/activenetwork-automation/chef-ha
chef_handler_elasticsearch,https://github.com/higanworks-cookbooks/chef_handler_elasticsearch
chef_handler_orchestrate_io,https://github.com/higanworks-cookbooks/chef_handler_orchestrate_io
chef_handler_sns,https://github.com/zuazo/chef_handler_sns-cookbook
chef-ibmc-cookbook,https://github.com/IamFive/chef-ibmc-cookbook
