Issue URL,Fix URL,Ecosystem,Created At,Closed At,Config Unit Files Count,Config Unit Lines Added,Config Unit Lines Removed,IAC Program Unit Files Count,IAC Program Unit Lines Added,IAC Program Unit Lines Removed,Test Unit Files Count,Test Unit Lines Added,Test Unit Lines Removed,Template Unit Files Count,Template Unit Lines Added,Template Unit Lines Removed
https://github.com/sous-chefs/nfs/issues/21,https://github.com/sous-chefs/nfs/commit/4c8766b4a0aab7339f9059ebd7cf7eea1aec2a25,Chef,2013-06-11,2013-09-08,1,1,1,0,0,0,0,0,0,0,0,0
https://github.com/cerner/cerner_tomcat/issues/21,https://github.com/cerner/cerner_tomcat/pull/33,Chef,2016-10-07,2016-11-02,0,0,0,0,0,0,2,23,4,1,1,1
https://github.com/sous-chefs/haproxy/issues/197,https://github.com/sous-chefs/haproxy/pull/198,Chef,2017-04-21,2017-04-21,1,1,0,0,0,0,0,0,0,0,0,0
https://github.com/sous-chefs/ark/issues/84,https://github.com/sous-chefs/ark/pull/85,Chef,2014-11-05,2014-11-06,1,6,2,0,0,0,1,8,0,0,0,0
https://github.com/sous-chefs/docker/issues/158,https://github.com/sous-chefs/docker/pull/160,Chef,2014-05-23,2014-06-24,4,5,5,0,0,0,0,0,0,0,0,0
https://github.com/sous-chefs/grafana/issues/351,https://github.com/sous-chefs/grafana/pull/352/,Chef,2020-05-19,2020-05-20,1,1,1,0,0,0,0,0,0,0,0,0
https://github.com/sous-chefs/nodejs/issues/204,https://github.com/sous-chefs/nodejs/pull/212,Chef,2020-05-04,2020-09-30,0,0,0,2,2,0,0,0,0,0,0,0
https://github.com/dwradcliffe/chef-solr/issues/22,https://github.com/dwradcliffe/chef-solr/pull/27/files,Chef,2015-06-12,2015-07-23,0,0,0,1,3,2,0,0,0,2,2,2
https://github.com/schubergphilis/chef-acme/issues/120,https://github.com/schubergphilis/chef-acme/pull/121,Chef,2020-02-28,2020-03-06,0,0,0,1,1,1,0,0,0,0,0,0
https://github.com/djoos-cookbooks/composer/issues/20,https://github.com/djoos-cookbooks/composer/pull/29/files,Chef,2014-03-26,2014-04-07,1,1,0,1,2,0,0,0,0,0,0,0
https://github.com/sous-chefs/rvm/issues/35,https://github.com/sous-chefs/rvm/commit/cd67e7f65b51e2507d9761e9c1368b04c08d3291,Chef,2011-08-23,2011-08-23,2,38,9,0,0,0,0,0,0,0,0,0
https://github.com/signalfx/signalfx-agent/issues/585,https://github.com/signalfx/signalfx-agent/pull/592,Chef,2019-02-20,2019-02-25,0,0,0,1,4,0,0,0,0,0,0,0
https://github.com/gocd/go-cookbook/issues/28,https://github.com/gocd/go-cookbook/commit/af7a7969ac05dfcb1e7b24b366a4c4890bee21c3,Chef,2014-10-20,2014-10-28,0,0,0,1,1,1,0,0,0,0,0,0
https://github.com/michaelklishin/cassandra-chef-cookbook/issues/73,https://github.com/michaelklishin/cassandra-chef-cookbook/commit/f8fc13788763b0b91ab2e29d3e67deb2a4fc5855,Chef,2014-06-18,2014-06-18,0,0,0,1,1,1,0,0,0,0,0,0
